Timestamp,Open,High,Low,Close,Volume
1/1/2018,14112.2002,14112.2002,13154.7002,13657.2002,10291200000
1/2/2018,13625,15444.59961,13163.59961,14982.09961,16846600192
1/3/2018,14978.2002,15572.79981,14844.5,15201,16871900160
1/4/2018,15270.7002,15739.7002,14522.2002,15599.2002,21783199744
1/5/2018,15477.2002,17705.19922,15202.79981,17429.5,23840899072
1/6/2018,17462.09961,17712.40039,16764.59961,17527,18314600448
1/7/2018,17527.30078,17579.59961,16087.7002,16477.59961,15866000384
1/8/2018,16476.19922,16537.90039,14208.2002,15170.09961,18413899776
1/9/2018,15123.7002,15497.5,14424,14595.40039,16659999744
1/10/2018,14588.5,14973.29981,13691.2002,14973.29981,18500800512
1/11/2018,14968.2002,15018.79981,13105.90039,13405.79981,16534099968
1/12/2018,13453.90039,14229.90039,13158.09961,13980.59961,12065699840
1/13/2018,13952.40039,14659.5,13952.40039,14360.2002,12763599872
1/14/2018,14370.79981,14511.79981,13268,13772,11084099584
1/15/2018,13767.29981,14445.5,13641.7002,13819.79981,12750799872
1/16/2018,13836.09961,13843.09961,10194.90039,11490.5,18853799936
1/17/2018,11431.09961,11678,9402.290039,11188.59961,18830600192
1/18/2018,11198.79981,12107.29981,10942.5,11474.90039,15020399616
1/19/2018,11429.79981,11992.79981,11172.09961,11607.40039,10740400128
1/20/2018,11656.2002,13103,11656.2002,12899.2002,11801700352
1/21/2018,12889.2002,12895.90039,11288.2002,11600.09961,9935179776
1/22/2018,11633.09961,11966.40039,10240.2002,10931.40039,10537400320
1/23/2018,10944.5,11377.59961,10129.7002,10868.40039,9660609536
1/24/2018,10903.40039,11501.40039,10639.79981,11359.40039,9940989952
1/25/2018,11421.7002,11785.7002,11057.40039,11259.40039,8873169920
1/26/2018,11256,11656.7002,10470.29981,11171.40039,9746199552
1/27/2018,11174.90039,11614.90039,10989.2002,11440.7002,7583269888
1/28/2018,11475.29981,12040.29981,11475.29981,11786.29981,8350360064
1/29/2018,11755.5,11875.59961,11179.2002,11296.40039,7107359744
1/30/2018,11306.79981,11307.2002,10036.2002,10106.29981,8637859840
1/31/2018,10108.2002,10381.59961,9777.419922,10221.09961,8041160192
2/1/2018,10237.29981,10288.79981,8812.280273,9170.540039,9959400448
2/2/2018,9142.280273,9142.280273,7796.490234,8830.75,12726899712
2/3/2018,8852.120117,9430.75,8251.629883,9174.910156,7263790080
2/4/2018,9175.700195,9334.870117,8031.220215,8277.009766,7073549824
2/5/2018,8270.540039,8364.839844,6756.680176,6955.27002,9285289984
2/6/2018,7051.75,7850.700195,6048.259766,7754,13999800320
2/7/2018,7755.490234,8509.110352,7236.790039,7621.299805,9169280000
2/8/2018,7637.859863,8558.769531,7637.859863,8265.589844,9346750464
2/9/2018,8271.839844,8736.980469,7884.709961,8736.980469,6784820224
2/10/2018,8720.080078,9122.549805,8295.469727,8621.900391,7780960256
2/11/2018,8616.129883,8616.129883,7931.100098,8129.970215,6122189824
2/12/2018,8141.430176,8985.919922,8141.430176,8926.570313,6256439808
2/13/2018,8926.719727,8958.469727,8455.410156,8598.30957,5696719872
2/14/2018,8599.919922,9518.540039,8599.919922,9494.629883,7909819904
2/15/2018,9488.320313,10234.79981,9395.580078,10166.40039,9062540288
2/16/2018,10135.7002,10324.09961,9824.820313,10233.90039,7296159744
2/17/2018,10207.5,11139.5,10149.40039,11112.7002,8660880384
2/18/2018,11123.40039,11349.79981,10326,10551.79981,8744009728
2/19/2018,10552.59961,11273.79981,10513.2002,11225.29981,7652089856
2/20/2018,11231.79981,11958.5,11231.79981,11403.7002,9926540288
2/21/2018,11372.2002,11418.5,10479.09961,10690.40039,9405339648
2/22/2018,10660.40039,11039.09961,9939.089844,10005,8040079872
2/23/2018,9937.070313,10487.29981,9734.55957,10301.09961,7739500032
2/24/2018,10287.7002,10597.2002,9546.969727,9813.070313,6917929984
2/25/2018,9796.419922,9923.219727,9407.05957,9664.730469,5706939904
2/26/2018,9669.429688,10475,9501.730469,10366.7002,7287690240
2/27/2018,10393.90039,10878.5,10246.09961,10725.59961,6966179840
2/28/2018,10687.2002,11089.79981,10393.09961,10397.90039,6936189952
3/1/2018,10385,11052.29981,10352.7002,10951,7317279744
3/2/2018,10977.40039,11189,10850.09961,11086.40039,7620590080
3/3/2018,11101.90039,11528.2002,11002.40039,11489.7002,6690570240
3/4/2018,11497.40039,11512.59961,11136.09961,11512.59961,6084149760
3/5/2018,11532.40039,11704.09961,11443.90039,11573.29981,6468539904
3/6/2018,11500.09961,11500.09961,10694.29981,10779.90039,6832169984
3/7/2018,10803.90039,10929.5,9692.120117,9965.570313,8797910016
3/8/2018,9951.44043,10147.40039,9335.870117,9395.009766,7186089984
3/9/2018,9414.69043,9466.349609,8513.030273,9337.549805,8704190464
3/10/2018,9350.589844,9531.320313,8828.469727,8866,5386319872
3/11/2018,8852.780273,9711.889648,8607.120117,9578.629883,6296370176
3/12/2018,9602.929688,9937.5,8956.429688,9205.120117,6457399808
3/13/2018,9173.040039,9470.379883,8958.19043,9194.849609,5991139840
3/14/2018,9214.650391,9355.849609,8068.589844,8269.80957,6438230016
3/15/2018,8290.759766,8428.349609,7783.049805,8300.860352,6834429952
3/16/2018,8322.910156,8585.150391,8005.310059,8338.349609,5289379840
3/17/2018,8321.910156,8346.530273,7812.819824,7916.879883,4426149888
3/18/2018,7890.52002,8245.509766,7397.990234,8223.679688,6639190016
3/19/2018,8344.120117,8675.870117,8182.399902,8630.650391,6729110016
3/20/2018,8619.669922,9051.019531,8389.889648,8913.469727,6361789952
3/21/2018,8937.480469,9177.370117,8846.330078,8929.280273,6043129856
3/22/2018,8939.44043,9100.709961,8564.900391,8728.469727,5530390016
3/23/2018,8736.25,8879.620117,8360.620117,8879.620117,5954120192
3/24/2018,8901.950195,8996.179688,8665.700195,8668.120117,5664600064
3/25/2018,8612.80957,8682.009766,8449.099609,8495.780273,4569880064
3/26/2018,8498.469727,8530.080078,7921.430176,8209.400391,5921039872
3/27/2018,8200,8232.780273,7797.279785,7833.040039,5378250240
3/28/2018,7836.830078,8122.890137,7809.169922,7954.47998,4935289856
3/29/2018,7979.069824,7994.330078,7081.379883,7165.700195,6361229824
3/30/2018,7171.450195,7276.660156,6683.930176,6890.52002,6289509888
3/31/2018,6892.47998,7207.850098,6863.52002,6973.529785,4553269760
4/1/2018,7003.060059,7060.950195,6526.870117,6844.22998,4532100096
4/2/2018,6844.859863,7135.470215,6816.580078,7083.799805,4333440000
4/3/2018,7102.259766,7530.939941,7072.490234,7456.109863,5499700224
4/4/2018,7456.410156,7469.879883,6803.879883,6853.839844,4936000000
4/5/2018,6848.649902,6933.819824,6644.799805,6811.470215,5639320064
4/6/2018,6815.959961,6857.490234,6575,6636.319824,3766810112
4/7/2018,6630.509766,7050.540039,6630.509766,6911.089844,3976610048
4/8/2018,6919.97998,7111.560059,6919.97998,7023.52002,3652499968
